year,agency_code,career_cluster,num_concentrators
2017,010303,AGNR,1
2017,010303,ARCH,1
2017,010303,BMA,1
2017,010303,INFO,1
2017,010303,LAW,1
2017,010303,TRAN,1
2017,010324,AAVC,22
2017,010324,AGNR,26
2017,010324,ARCH,32
2017,010324,BMA,2
2017,010324,FINA,4
2017,010324,HLTH,5
2017,010324,HOSP,87
2017,010324,HUMA,1
2017,010324,INFO,74
2017,010324,MANU,4
2017,010324,STEM,11
2017,010324,TRAN,10
2017,010348,AAVC,8
2017,010348,AGNR,10
2017,010348,ARCH,82
2017,010348,BMA,3
2017,010348,FINA,2
2017,010348,HLTH,8
2017,010348,HOSP,12
2017,010348,INFO,5
2017,010348,LAW,1
2017,010348,MANU,3
2017,010348,TRAN,83
2017,010360,AAVC,6
2017,010360,AGNR,28
2017,010360,ARCH,7
2017,010360,BMA,23
2017,010360,FINA,14
2017,010360,HLTH,19
2017,010360,HOSP,50
2017,010360,INFO,5
2017,010360,MANU,9
2017,010360,MRKT,6
2017,010360,STEM,10
2017,010360,TRAN,5
2017,010388,AAVC,21
2017,010388,AGNR,136
2017,010388,ARCH,47
2017,010388,BMA,2
2017,010388,FINA,1
2017,010388,HLTH,27
2017,010388,HOSP,22
2017,010388,HUMA,2
2017,010388,INFO,23
2017,010388,LAW,15
2017,010388,STEM,4
2017,010388,TRAN,6
2017,010396,AAVC,213
2017,010396,AGNR,174
2017,010396,ARCH,39
2017,010396,BMA,26
2017,010396,FINA,88
2017,010396,HLTH,35
2017,010396,HOSP,474
2017,010396,HUMA,6
2017,010396,INFO,25
2017,010396,MANU,1
2017,010396,MRKT,12
2017,010396,STEM,164
2017,010396,TRAN,3
2017,010400,AAVC,10
2017,010400,AGNR,96
2017,010400,ARCH,25
2017,010400,BMA,6
2017,010400,HLTH,36
2017,010400,HOSP,39
2017,010400,HUMA,6
2017,010400,INFO,33
2017,010400,MANU,3
2017,010400,STEM,5
2017,010400,TRAN,13
2017,020302,AAVC,28
2017,020302,AGNR,188
2017,020302,ARCH,85
2017,020302,BMA,26
2017,020302,HLTH,54
2017,020302,HOSP,68
2017,020302,HUMA,8
2017,020302,INFO,36
2017,020302,MANU,26
2017,020302,MRKT,25
2017,020302,STEM,7
2017,020302,TRAN,1
2017,030304,AAVC,31
2017,030304,AGNR,48
2017,030304,ARCH,31
2017,030304,HLTH,14
2017,030304,HOSP,8
2017,030304,INFO,12
2017,030304,LAW,1
2017,030304,MANU,13
2017,030304,STEM,33
2017,030304,TRAN,23
2017,040305,AGNR,1
2017,040305,LAW,528
2017,040306,AAVC,2
2017,040306,AGNR,220
2017,040306,ARCH,32
2017,040306,HOSP,18
2017,040306,LAW,3
2017,040306,TRAN,12
2017,040700,AGNR,3
2017,040700,ARCH,5
2017,040700,BMA,8
2017,040700,HOSP,3
2017,040700,LAW,3
2017,040700,MANU,5
2017,040700,MRKT,5
2017,040700,STEM,5
2017,050302,AGNR,28
2017,050302,ARCH,27
2017,050302,BMA,4
2017,050302,HLTH,22
2017,050302,HOSP,5
2017,050302,HUMA,8
2017,050302,INFO,4
2017,050302,LAW,15
2017,050302,MANU,18
2017,050302,STEM,4
2017,050302,TRAN,25
2017,060302,AGNR,35
2017,060302,BMA,13
2017,060302,FINA,7
2017,060302,HLTH,9
2017,060302,HOSP,12
2017,060302,HUMA,4
2017,060302,LAW,11
2017,060302,MANU,32
2017,060302,STEM,4
2017,060700,AGNR,5
2017,060700,BMA,1
2017,060700,HLTH,1
2017,060700,LAW,1
2017,060700,MANU,4
2017,060700,STEM,3
2017,070310,AGNR,1
2017,070311,AGNR,1
2017,070311,INFO,1
2017,070330,AGNR,143
2017,070330,ARCH,72
2017,070330,FINA,119
2017,070330,HLTH,13
2017,070330,HOSP,19
2017,070330,INFO,11
2017,070330,MANU,1
2017,070330,STEM,10
2017,070330,TRAN,67
2017,070339,AGNR,24
2017,070339,ARCH,17
2017,070339,FINA,3
2017,070339,HLTH,12
2017,070339,HOSP,3
2017,070339,LAW,7
2017,070339,MANU,19
2017,070342,AGNR,84
2017,070342,ARCH,16
2017,070342,BMA,14
2017,070342,HLTH,12
2017,070342,HOSP,16
2017,070342,HUMA,1
2017,070342,INFO,11
2017,070342,LAW,3
2017,070342,MANU,5
2017,070342,MRKT,5
2017,080311,AGNR,13
2017,080312,AAVC,9
2017,080312,AGNR,17
2017,080312,ARCH,10
2017,080312,BMA,11
2017,080312,HLTH,3
2017,080312,HOSP,7
2017,080312,HUMA,1
2017,080312,LAW,14
2017,080312,MANU,15
2017,080312,MRKT,2
2017,080312,TRAN,1
2017,080700,AGNR,1
2017,080700,BMA,1
2017,080700,HLTH,1
2017,080700,HOSP,1
2017,080700,LAW,6
2017,080700,MANU,1
2017,090330,AAVC,12
2017,090330,AGNR,57
2017,090330,ARCH,42
2017,090330,BMA,24
2017,090330,HLTH,34
2017,090330,HOSP,18
2017,090330,HUMA,3
2017,090330,INFO,36
2017,090330,LAW,10
2017,090330,MANU,20
2017,090330,MRKT,12
2017,090330,TRAN,11
2017,090368,AAVC,12
2017,090368,AGNR,481
2017,090368,ARCH,2
2017,090368,BMA,16
2017,090368,HLTH,71
2017,090368,HOSP,44
2017,090368,HUMA,1
2017,090368,INFO,13
2017,090368,LAW,130
2017,090368,MANU,162
2017,100307,INFO,1
2017,100308,ARCH,4
2017,100308,HOSP,5
2017,100326,AAVC,2
2017,100326,AGNR,42
2017,100326,ARCH,24
2017,100326,FINA,1
2017,100326,HLTH,6
2017,100326,HOSP,12
2017,100326,HUMA,1
2017,100326,INFO,9
2017,100326,MANU,2
2017,100326,STEM,3
2017,100334,AGNR,53
2017,100334,ARCH,66
2017,100334,BMA,69
2017,100334,FINA,2
2017,100334,HLTH,16
2017,100334,HOSP,51
2017,100334,HUMA,4
2017,100334,INFO,6
2017,100334,MANU,8
2017,100334,MRKT,77
2017,100334,STEM,1
2017,100334,TRAN,43
2017,100348,AGNR,46
2017,100348,ARCH,22
2017,100348,BMA,51
2017,100348,FINA,1
2017,100348,HLTH,57
2017,100348,HOSP,36
2017,100348,HUMA,1
2017,100348,INFO,46
2017,100348,MANU,5
2017,100348,MRKT,25
2017,100348,TRAN,27
2017,110303,AGNR,3
2017,110303,BMA,1
2017,110304,AAVC,44
2017,110304,AGNR,56
2017,110304,ARCH,36
2017,110304,BMA,39
2017,110304,HLTH,48
2017,110304,HOSP,36
2017,110304,HUMA,21
2017,110304,INFO,9
2017,110304,LAW,112
2017,110304,MRKT,19
2017,110304,STEM,48
2017,110304,TRAN,22
2017,110323,AGNR,1
2017,110323,INFO,1
2017,110323,LAW,1
2017,110336,AAVC,3
2017,110336,AGNR,47
2017,110336,ARCH,27
2017,110336,BMA,10
2017,110336,HLTH,24
2017,110336,HOSP,33
2017,110336,INFO,39
2017,110336,LAW,7
2017,110336,STEM,9
2017,110340,AAVC,2
2017,110340,AGNR,445
2017,110340,ARCH,295
2017,110340,BMA,83
2017,110340,HLTH,127
2017,110340,HOSP,272
2017,110340,HUMA,15
2017,110340,LAW,50
2017,110340,MRKT,30
2017,110340,TRAN,5
2017,110352,AAVC,36
2017,110352,AGNR,56
2017,110352,ARCH,30
2017,110352,BMA,5
2017,110352,FINA,15
2017,110352,HLTH,48
2017,110352,HOSP,16
2017,110352,INFO,26
2017,110352,LAW,25
2017,110352,MANU,3
2017,110352,MRKT,3
2017,110352,TRAN,8
2017,110380,AGNR,69
2017,110380,ARCH,98
2017,110380,BMA,27
2017,110380,HLTH,45
2017,110380,HUMA,1
2017,110380,INFO,30
2017,110380,LAW,23
2017,110380,MANU,23
2017,110380,MRKT,18
2017,110416,AAVC,14
2017,110416,AGNR,39
2017,110416,ARCH,10
2017,110416,BMA,8
2017,110416,HLTH,42
2017,110416,HOSP,30
2017,110416,HUMA,7
2017,110416,INFO,15
2017,110416,LAW,207
2017,110416,MANU,10
2017,110416,MRKT,11
2017,110416,TRAN,9
2017,111302,AAVC,3
2017,111302,AGNR,1
2017,111302,BMA,2
2017,111302,FINA,3
2017,111302,HLTH,8
2017,111302,HOSP,12
2017,111302,HUMA,8
