"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"1",2022,"00A000","SCH","C","North Carolina Cyber Academy","Durham","Durham",27713,"A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,2089,168,8.04,NA,"N","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.048,0.048,0.048,0,0,0,0,0
"2",2022,"00B000","SCH","C","NC Virtual Academy","Durham","Durham",27713,"A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,1990,302,15.18,NA,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0
"3",2022,"010303","SCH","P","ABSS Early College at ACC","Alamance","Graham",27253,"H","010LEA","09:13","Regular School","Traditional","N",NA,NA,213,51,23.94,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.469,0.939,0,0,0,0,0,0,0.939,0,0.469,0,0,0.469
"4",2022,"010310","SCH","P","Broadview Middle","Alamance","Burlington",27217,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,835,473,56.65,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022,"010324","SCH","P","Eastern Alamance High","Alamance","Mebane",27302,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1111,855,76.96,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.201,0.09,1.8,0.54,0,0.9,0,2.52,0.27,1.8,0.72,0.54,0,0,0.27,0.09
"6",2022,"010348","SCH","P","Graham High","Alamance","Graham",27253,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,827,550,66.51,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242,0,1.814,0.121,0,0,0,1.451,0.121,2.539,0.121,0.967,0,0,0.121,0.121
"7",2022,"010350","SCH","P","Graham Middle","Alamance","Graham",27253,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,658,298,45.29,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022,"010353","SCH","P","Hawfields Middle","Alamance","Mebane",27302,"M","010LEA","06:08","Regular School","Traditional","N",NA,NA,685,424,61.9,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022,"010360","SCH","P","Hugh M Cummings High","Alamance","Burlington",27217,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,879,722,82.14,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,2.503,0.91,0,0,0,0,2.958,2.389,4.551,0.569,0,0,0,0,0
"10",2022,"010378","SCH","P","Ray Street Academy","Alamance","Graham",27253,"T","010LEA","06:12","Alternative Educat","Traditional","N",NA,NA,56,NA,95,TRUE,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
