"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"1",2018,"00A000",694,0.0273775216138329,0.187319884726225,0.178674351585014,0.0273775216138329,0.631123919308357,0.118155619596542,0.368876080691643,0.0561959654178674,0.122478386167147,0.603746397694525,NA,NA,NA
"2",2018,"00B000",510,NA,0.207843137254902,0.227450980392157,NA,0.545098039215686,0.0882352941176471,0.454901960784314,0.0784313725490196,0.141176470588235,0.607843137254902,NA,NA,NA
"3",2018,"010303",126,NA,0.174603174603175,0.555555555555556,NA,0.603174603174603,0.26984126984127,0.396825396825397,NA,NA,0.452380952380952,NA,NA,NA
"4",2018,"010324",859,NA,0.19557625145518,0.381839348079162,0.0407450523864959,0.452852153667055,0.161816065192084,0.547147846332945,0.0547147846332945,0.135040745052387,0.579743888242142,NA,NA,NA
"5",2018,"010348",584,0.0205479452054795,0.291095890410959,0.773972602739726,0.10958904109589,0.503424657534247,0.464041095890411,0.496575342465753,0.0308219178082192,0.166095890410959,0.183219178082192,NA,NA,NA
"6",2018,"010360",720,0.0138888888888889,0.347222222222222,0.809722222222222,0.184722222222222,0.519444444444444,0.520833333333333,0.480555555555556,0.0527777777777778,0.136111111111111,0.0652777777777778,NA,NA,NA
"7",2018,"010378",34,NA,0.294117647058824,0.794117647058823,NA,NA,NA,0.735294117647059,NA,0.588235294117647,0.5,NA,NA,NA
"8",2018,"010388",1115,NA,0.0744394618834081,0.373991031390135,0.0493273542600897,0.460986547085202,0.170403587443946,0.539013452914798,0.0304932735426009,0.120179372197309,0.713004484304933,NA,NA,NA
"9",2018,"010396",850,0.0341176470588235,0.328235294117647,0.588235294117647,0.0870588235294118,0.492941176470588,0.291764705882353,0.507058823529412,0.04,0.116470588235294,0.303529411764706,NA,NA,NA
"10",2018,"010400",889,NA,0.118110236220472,0.305961754780652,0.0404949381327334,0.443194600674916,0.140607424071991,0.556805399325084,0.0269966254218223,0.0764904386951631,0.701912260967379,NA,NA,NA
"11",2018,"010LEA",5177,0.0142939926598416,0.209967162449295,0.511686304809735,0.0770716631253622,0.476917133474985,0.267336295151632,0.523082866525014,0.0401777090979332,0.122464747923508,0.464168437318911,0.00309059300753332,NA,NA
"12",2018,"01B000",135,NA,0.185185185185185,NA,NA,0.540740740740741,0.0740740740740741,0.459259259259259,NA,0.0740740740740741,0.666666666666667,NA,NA,NA
"13",2018,"01C000",125,NA,NA,0.096,NA,0.592,0.08,0.408,NA,0.096,0.848,NA,NA,NA
"14",2018,"01D000",89,NA,NA,NA,NA,0.415730337078652,NA,0.584269662921348,NA,NA,0.820224719101124,NA,NA,NA
"15",2018,"020302",885,0.0180790960451977,0.0305084745762712,0.43954802259887,0.0192090395480226,0.482485875706215,0.0903954802259887,0.517514124293785,0.0418079096045198,0.132203389830508,0.818079096045198,NA,NA,NA
"16",2018,"020303",199,NA,NA,0.462311557788945,NA,0.5678391959799,0.180904522613065,0.4321608040201,NA,NA,0.718592964824121,NA,NA,NA
"17",2018,"020LEA",1084,0.022140221402214,0.0313653136531365,0.443726937269373,0.0156826568265683,0.498154981549816,0.107011070110701,0.501845018450184,0.0387453874538745,0.112546125461255,0.799815498154982,NA,NA,NA
"18",2018,"030304",335,NA,NA,0.614925373134328,0.0626865671641791,0.501492537313433,0.223880597014925,0.498507462686567,NA,0.107462686567164,0.737313432835821,NA,NA,NA
"19",2018,"030LEA",335,NA,NA,0.614925373134328,0.0626865671641791,0.501492537313433,0.223880597014925,0.498507462686567,NA,0.107462686567164,0.737313432835821,NA,NA,NA
"20",2018,"040304",172,NA,0.337209302325581,0.290697674418605,NA,0.604651162790698,NA,0.395348837209302,NA,NA,0.587209302325581,NA,NA,NA
"21",2018,"040305",60,NA,0.683333333333333,0.583333333333333,NA,0.333333333333333,NA,0.666666666666667,NA,0.183333333333333,0.183333333333333,NA,NA,NA
"22",2018,"040306",549,NA,0.604735883424408,0.46448087431694,0.0418943533697632,0.477231329690346,0.0692167577413479,0.522768670309654,0.0400728597449909,0.14207650273224,0.265938069216758,NA,NA,NA
"23",2018,"040LEA",781,0.0166453265044814,0.551856594110115,0.435339308578745,0.0320102432778489,0.494238156209987,0.057618437900128,0.505761843790013,0.0371318822023047,0.117797695262484,0.330345710627401,NA,NA,NA
"24",2018,"050302",724,NA,NA,0.531767955801105,0.0290055248618785,0.448895027624309,0.102209944751381,0.551104972375691,0.0165745856353591,0.136740331491713,0.871546961325967,NA,NA,NA
"25",2018,"050LEA",724,NA,NA,0.531767955801105,0.0290055248618785,0.448895027624309,0.102209944751381,0.551104972375691,0.0165745856353591,0.136740331491713,0.871546961325967,NA,NA,NA
"26",2018,"060302",268,NA,NA,0.574626865671642,NA,0.511194029850746,0.0634328358208955,0.488805970149254,NA,0.164179104477612,0.906716417910448,NA,NA,NA
"27",2018,"060700",38,NA,NA,NA,NA,0.631578947368421,NA,0.368421052631579,NA,NA,0.973684210526316,NA,NA,NA
"28",2018,"060701",99,NA,NA,0.292929292929293,NA,0.585858585858586,0.141414141414141,0.414141414141414,NA,NA,0.838383838383838,NA,NA,NA
"29",2018,"060LEA",412,NA,NA,0.473300970873786,0.0412621359223301,0.533980582524272,0.0776699029126214,0.466019417475728,NA,0.121359223300971,0.898058252427185,NA,NA,NA
"30",2018,"06A000",31,NA,NA,NA,NA,0.612903225806452,NA,0.387096774193548,NA,NA,0.580645161290323,NA,NA,NA
