"","year","agency_code","agency_level","designation_Type","name","county","street_addr","street_addr2","city","state","zip","phone","url","super_name","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","esea","stem","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","AAVC","AGNR","ARCH","BMA","CD","EDUC","FINA","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"1",2019,"00A000","SCH","C","North Carolina Cyber Academy","Durham","2800 Meridian Parkway","S","Durham","NC",27713,"984-262-9237","http://www.myncca.com","Dr Nathan Currie","A","CH","KG:12","Regular School","Traditional","Y","NC-SEA",NA,NA,NA,1807,289,15.99,NA,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2019,"00B000","SCH","C","NC Virtual Academy","Durham","4220 NC Highway 55","S","Durham","NC",27713,"919-346-0121","http://ncva.k12.com/","Joel Medley","A","CH","KG:12","Regular School","Traditional","Y","NC-SEA",NA,NA,NA,1319,23,1.74,NA,"N","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2019,"010303","SCH","P","ABSS Early College at ACC","Alamance","1247 Jimmie Kerr Road",NA,"Graham","NC",27253,"336-506-4001","http://amc.abss.k12.nc.us",NA,"H","010LEA","9:13","Regular School","Traditional","N",NA,NA,NA,NA,222,85,38.29,NA,"N","N","N","N",0.143,0.6,0.4,0,0.857,TRUE,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
"4",2019,"010310","SCH","P","Broadview Middle","Alamance","2229 Broadview Drive",NA,"Burlington","NC",27217,"336-570-6195","http://brm.abss.k12.nc.us/",NA,"M","010LEA","6:08","Regular School","Traditional","Y",NA,NA,NA,NA,755,461,61.06,NA,"Y","N","N","N",0.143,0.6,0.4,0,0.857,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"5",2019,"010324","SCH","P","Eastern Alamance High","Alamance","4040 Mebane Rogers",NA,"Mebane","NC",27302,"919-563-5991","http://eah.abss.k12.nc.us",NA,"H","010LEA","9:12","Regular School","Traditional","N",NA,NA,NA,NA,1186,871,73.44,NA,"N","N","Y","N",0.143,0.6,0.4,0,0.857,TRUE,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"6",2019,"010348","SCH","P","Graham High","Alamance","903 Trollinger Road",NA,"Graham","NC",27253,"336-570-6440","http://grh.abss.k12.nc.us/",NA,"H","010LEA","9:12","Regular School","Traditional","N",NA,NA,NA,NA,757,511,67.5,NA,"N","N","Y","Y",0.143,0.6,0.4,0,0.857,TRUE,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"7",2019,"010350","SCH","P","Graham Middle","Alamance","311 E Pine Street",NA,"Graham","NC",27253,"336-570-6460","http://grm.abss.k12.nc.us/",NA,"M","010LEA","6:08","Regular School","Year Round","Y",NA,NA,NA,NA,715,318,44.48,NA,"N","N","Y","Y",0.143,0.6,0.4,0,0.857,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"8",2019,"010353","SCH","P","Hawfields Middle","Alamance","1951 S NC 119",NA,"Mebane","NC",27302,"919-563-5303","http://ham.abss.k12.nc.us",NA,"M","010LEA","6:08","Regular School","Traditional","N",NA,NA,NA,NA,683,378,55.34,NA,"N","N","Y","Y",0.143,0.6,0.4,0,0.857,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"9",2019,"010360","SCH","P","Hugh M Cummings High","Alamance","2200 N Mebane Street",NA,"Burlington","NC",27217,"336-570-6100","http://hch.abss.k12.nc.us/",NA,"H","010LEA","9:12","Regular School","Traditional","N",NA,NA,NA,NA,976,722,73.98,NA,"N","N","N","N",0.143,0.6,0.4,0,0.857,TRUE,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
"10",2019,"010378","SCH","P","Ray Street Academy","Alamance","609 Ray Street",NA,"Graham","NC",27253,"336-570-6644","http://.abss.k12.nc.us",NA,"A","010LEA","KG:12","Alternative School","Traditional","N",NA,NA,NA,NA,114,56,49.12,NA,"N","N","Y","Y",0.143,0.6,0.4,0,0.857,TRUE,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
"11",2019,"010388","SCH","P","Southern Alamance High","Alamance","631 Southern High Road",NA,"Graham","NC",27253,"336-570-6400","http://sah.abss.k12.nc.us/",NA,"H","010LEA","9:12","Regular School","Traditional","N",NA,NA,NA,NA,1416,1090,76.98,NA,"N","N","Y","Y",0.143,0.6,0.4,0,0.857,TRUE,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
