"","year","agency_code","agency_level","designation_Type","name","county","city","zip","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","AAVC","AGNR","ARCH","BMA","EDUC","FINA","GOVT","HLTH","HOSP","HUMA","INFO","LAW","MANU","MRKT","STEM","TRAN"
"1",2022,"00A000","SCH","C","North Carolina Cyber Academy","Durham","Durham",27713,"A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,2089,168,8.04,NA,"N","Y","Y","Y",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"2",2022,"00B000","SCH","C","NC Virtual Academy","Durham","Durham",27713,"A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,1990,302,15.18,NA,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"3",2022,"010303","SCH","P","ABSS Early College at ACC","Alamance","Graham",27253,"H","010LEA","09:13","Regular School","Traditional","N",NA,NA,213,51,23.94,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,1
"4",2022,"010310","SCH","P","Broadview Middle","Alamance","Burlington",27217,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,835,473,56.65,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022,"010324","SCH","P","Eastern Alamance High","Alamance","Mebane",27302,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1111,855,76.96,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,80,1,20,6,0,10,0,28,3,20,8,6,0,0,3,1
"6",2022,"010348","SCH","P","Graham High","Alamance","Graham",27253,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,827,550,66.51,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,2,0,15,1,0,0,0,12,1,21,1,8,0,0,1,1
"7",2022,"010350","SCH","P","Graham Middle","Alamance","Graham",27253,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,658,298,45.29,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022,"010353","SCH","P","Hawfields Middle","Alamance","Mebane",27302,"M","010LEA","06:08","Regular School","Traditional","N",NA,NA,685,424,61.9,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022,"010360","SCH","P","Hugh M Cummings High","Alamance","Burlington",27217,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,879,722,82.14,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,4,22,8,0,0,0,0,26,21,40,5,0,0,0,0,0
"10",2022,"010378","SCH","P","Ray Street Academy","Alamance","Graham",27253,"T","010LEA","06:12","Alternative Educat","Traditional","N",NA,NA,56,NA,95,TRUE,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2022,"010388","SCH","P","Southern Alamance High","Alamance","Graham",27253,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1290,1052,81.55,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,4,112,63,0,0,0,0,28,14,37,16,27,1,0,1,4
"12",2022,"010390","SCH","P","Southern Alamance Middle","Alamance","Graham",27253,"M","010LEA","06:08","Regular School","Traditional","N",NA,NA,710,469,66.06,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2022,"010394","SCH","P","Turrentine Middle","Alamance","Burlington",27215,"M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,962,533,55.41,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2022,"010396","SCH","P","Walter M Williams High","Alamance","Burlington",27215,"H","010LEA","09:12","Regular School","Traditional","N",NA,NA,1169,893,76.39,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,87,0,24,0,0,16,0,14,36,23,3,3,0,0,17,1
