"","year","agency_code","agency_level","designation_Type","name","county","street_addr","street_addr2","city","state","zip","phone","url","super_name","category_code","lea_code","grade_span","school_type","calendar_type","title_i","residing_district","esea","stem","purple_star","stu_enroll","cte_enroll","pct","masking","csi_lp","csi_lg","tsi_cu","tsi_at","BL7","FEM","MALE","OTHER","WH7","majority_white","absent_group_ALL","absent_group_FEM","absent_group_HI7","absent_group_MALE","absent_group_WH7","absent_group_BL7","absent_group_ELS","absent_group_MU7","absent_group_SWD","absent_group_AS7","absent_group_AM7","absent_group_PI7"
"1",2022,"00A000","SCH","C","North Carolina Cyber Academy","Durham","2800 Meridian Parkway","S","Durham","NC",27713,"984-262-9237","http://www.myncca.com","Mr Martez Hill","A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,NA,NA,2089,168,8.04,NA,"N","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022,"00B000","SCH","C","NC Virtual Academy","Durham","4220 NC Highway 55","S","Durham","NC",27713,"919-346-0121","http://ncva.k12.com/","Katharine Gomersall","A","CH","0K:12","Regular School","Traditional","Y","NC-SEA",NA,NA,NA,1990,302,15.18,NA,"N","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022,"010303","SCH","P","ABSS Early College at ACC","Alamance","1247 Jimmie Kerr Road",NA,"Graham","NC",27253,"336-506-4001","https://www.abss.k12.nc.us/o/abec","Ms Suzanne Simpson","H","010LEA","09:13","Regular School","Traditional","N",NA,NA,NA,NA,213,51,23.94,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022,"010310","SCH","P","Broadview Middle","Alamance","2229 Broadview Drive",NA,"Burlington","NC",27217,"336-570-6195","http://brm.abss.k12.nc.us/","Nicole Lancaster","M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,835,473,56.65,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022,"010324","SCH","P","Eastern Alamance High","Alamance","4040 Mebane Rogers",NA,"Mebane","NC",27302,"919-563-5991","https://www.abss.k12.nc.us/o/eahs","Dr Whitney Fliehman","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,1111,855,76.96,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022,"010348","SCH","P","Graham High","Alamance","903 Trollinger Road",NA,"Graham","NC",27253,"336-570-6440","https://www.abss.k12.nc.us/o/ghs","Joshua Brown","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,827,550,66.51,NA,"N","N","Y","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022,"010350","SCH","P","Graham Middle","Alamance","311 E Pine Street",NA,"Graham","NC",27253,"336-570-6460","https://www.abss.k12.nc.us/o/gms","Clifton Thomas","M","010LEA","06:08","Regular School","Traditional","Y",NA,NA,NA,NA,658,298,45.29,NA,"Y","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022,"010353","SCH","P","Hawfields Middle","Alamance","1951 S NC 119",NA,"Mebane","NC",27302,"919-563-5303","https://www.abss.k12.nc.us/o/hms","Mr Greg Hook","M","010LEA","06:08","Regular School","Traditional","N",NA,NA,NA,NA,685,424,61.9,NA,"N","N","Y","Y",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022,"010360","SCH","P","Hugh M Cummings High","Alamance","2200 N Mebane Street",NA,"Burlington","NC",27217,"336-570-6100","https://www.abss.k12.nc.us/o/hchs","Ms LaTasha Fonville","H","010LEA","09:12","Regular School","Traditional","N",NA,NA,NA,NA,879,722,82.14,NA,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022,"010378","SCH","P","Ray Street Academy","Alamance","609 Ray Street",NA,"Graham","NC",27253,"336-570-6644","https://www.abss.k12.nc.us/o/rsa","Michael Bayless","T","010LEA","06:12","Alternative Educat","Traditional","N",NA,NA,NA,NA,56,NA,95,TRUE,"N","N","N","N",0.189,0.541,0.459,0.027,0.784,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
